mode	resource	run	http_status	dns_s	connect_s	ttfb_s	total_s	bytes	content_type_or_effective_url	new_connections
new_connection	gene_cyp2c19_max	1	200	0.000477	0.056380	0.570707	0.572733	10040	application/json; charset=utf-8	1
new_connection	chemical_clopidogrel_max	1	200	0.000552	0.023180	0.519894	0.520303	6325	application/json; charset=utf-8	1
new_connection	variant_rs4244285_max	1	200	0.000547	0.018308	0.519859	0.520855	4199	application/json; charset=utf-8	1
new_connection	summary_clopidogrel_cyp2c19_max	1	200	0.000636	0.017120	1.026904	1.139343	130283	application/json; charset=utf-8	1
new_connection	guideline_clopidogrel_cyp2c19_max	1	200	0.000614	0.007118	0.434498	0.436808	20303	application/json; charset=utf-8	1
new_connection	gene_cyp2c19_max	2	200	0.000576	0.006587	0.569463	0.570754	10040	application/json; charset=utf-8	1
new_connection	chemical_clopidogrel_max	2	200	0.000666	0.053427	0.458982	0.460397	6325	application/json; charset=utf-8	1
new_connection	variant_rs4244285_max	2	200	0.000606	0.012880	0.505841	0.506414	4199	application/json; charset=utf-8	1
new_connection	summary_clopidogrel_cyp2c19_max	2	200	0.000588	0.014212	0.940529	1.160549	130283	application/json; charset=utf-8	1
new_connection	guideline_clopidogrel_cyp2c19_max	2	200	0.001010	0.015921	0.430949	0.434074	20303	application/json; charset=utf-8	1
new_connection	gene_cyp2c19_max	3	200	0.001033	0.013823	0.531023	0.532451	10040	application/json; charset=utf-8	1
new_connection	chemical_clopidogrel_max	3	200	0.000773	0.006133	0.557341	0.557464	6325	application/json; charset=utf-8	1
new_connection	variant_rs4244285_max	3	200	0.000727	0.021437	0.435834	0.436494	4199	application/json; charset=utf-8	1
new_connection	summary_clopidogrel_cyp2c19_max	3	200	0.000737	0.016798	0.695943	0.876519	130283	application/json; charset=utf-8	1
new_connection	guideline_clopidogrel_cyp2c19_max	3	200	0.001280	0.016796	0.446802	0.449327	20303	application/json; charset=utf-8	1
persistent_http2	gene_cyp2c19_max	1	200	0.000572	0.062996	0.575075	0.575569	10040	application/json; charset=utf-8	1
persistent_http2	chemical_clopidogrel_max	1	200	0.000000	0.000000	0.333230	0.335078	6325	application/json; charset=utf-8	0
persistent_http2	variant_rs4244285_max	1	200	0.000000	0.000000	0.422736	0.423118	4199	application/json; charset=utf-8	0
persistent_http2	summary_clopidogrel_cyp2c19_max	1	200	0.000000	0.000000	0.687757	0.865484	130283	application/json; charset=utf-8	0
persistent_http2	guideline_clopidogrel_cyp2c19_max	1	200	0.000000	0.000000	0.364802	0.364946	20303	application/json; charset=utf-8	0
persistent_http2	gene_cyp2c19_max	2	200	0.000000	0.000000	0.438410	0.439642	10040	application/json; charset=utf-8	0
persistent_http2	chemical_clopidogrel_max	2	200	0.000000	0.000000	0.344131	0.344392	6325	application/json; charset=utf-8	0
